,namaproduk,keterangan,harga,terjual
129,The LEGO Movie Videogame (PC) Steam Key Global,Steam  Key  Global,35000,8
130,Persona 3 Reload (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,30000,8
131,Emily is Away <3 (PC) Steam Key Global,Steam  Key  Global,25000,8
132,Palworld (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,35000,8
133,No Man's Sky (PC) Steam Key Global,Steam  Key  Global,319900,8
134,LEGO Marvel Super Heroes 2 (PC) Steam Key Global,Steam  Key  Global,60000,8
135,Football Manager 26 (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,75000,8
136,Ghost of Tsushima DIRECTOR'S CUT (PC) Steam Key Global,Steam  Key  Global,599000,8
137,Mount & Blade II: Bannerlord (PC) Steam Key Global,Steam  Key  Global,369900,8
138,HELLDIVERS 2 (PC) Steam Key Southeast-Asia,Steam  Key  Southeast-Asia,465000,8
139,Pathfinder: Wrath of the Righteous (PC) Steam Key Global,Steam  Key  Global,47500,8
140,Ready Or Not (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,35000,8
141,Cities: Skylines II (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,35000,8
142,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,35000,8
143,Teardown: Ultimate Edition (PC) Steam Sharing Account Global,Steam  Sharing Account  Global,35000,8
